YEAR,MO,DY,T2M,QV2M,PRECTOTCORR,WS10M_RANGE,PS
2015,5,26,12.92,6.84,0.15,3.93,101.81
2015,5,27,12.44,6.47,0.6,3.84,101.64
2015,5,28,11.91,5.8,0.14,5.38,100.84
2015,5,29,9.96,5.98,6.69,6.37,100.26
2015,5,30,11.02,5.49,0.28,2.98,100.82
2015,5,31,11.89,7.2,5.83,6.5,100.24
2015,6,1,10.21,5.62,1.82,9.42,100.7
2015,6,2,14.7,8.06,1.74,6.89,99.88
2015,6,3,14.02,6.47,0.02,7.26,101.62
2015,6,4,14.05,6.96,0,4.05,102.07
2015,6,5,17.01,9.89,5.17,3.12,101.16
2015,6,6,12.77,5.86,0,4.95,101.93
2015,6,7,12.47,5.74,0,4.74,102.74
2015,6,8,11.15,5.62,0.02,5.96,102.96
2015,6,9,10.44,5.31,0.12,3.99,102.94
2015,6,10,11.69,6.16,0.05,2.87,102.56
2015,6,11,13.9,7.26,0.01,3.18,101.71
2015,6,12,16.33,8.91,0.08,3.36,100.66
2015,6,13,14.15,8.85,1.93,4.93,100.43
2015,6,14,12.82,8.12,2.87,5.34,100.96
2015,6,15,11.62,5.43,0.01,3.21,101.86
2015,6,16,14.44,6.96,0.01,4.03,102.1
2015,6,17,17.69,10.19,2.33,3.77,101.64
2015,6,18,13.85,6.96,0.09,3.7,101.56
2015,6,19,12.87,7.14,0.88,3.69,101.63
2015,6,20,13.74,8.36,2.03,2.17,101.59
2015,6,21,14.71,8.12,1.45,4.32,101
2015,6,22,12.31,7.08,5.26,2.86,100.51
2015,6,23,12.35,7.26,0.47,5.09,101.28
2015,6,24,16.36,8.61,0.09,2.96,101.52
2015,6,25,17.5,9.34,0.05,2.64,101.65
2015,6,26,18.01,9.4,0.53,3.15,101.21
2015,6,27,17.56,8.79,0.13,3.94,101.41
2015,6,28,16.38,9.16,0.45,4.38,101.44
2015,6,29,17.23,8.79,0.03,2.69,101.72
2015,6,30,17.86,8.91,0,2.72,101.63
2015,7,1,21.23,11.41,1.92,4.02,101.06
2015,7,2,20.25,11.47,1.88,5.14,101.43
2015,7,3,18.19,10.31,0.78,4.27,102.01
2015,7,4,21.29,11.9,1.32,4.63,101.32
2015,7,5,17.28,9.52,13.01,5.01,101.3
2015,7,6,16.81,8.36,0,2.14,101.37
2015,7,7,17.1,8.79,1.18,5.78,100.39
2015,7,8,14.93,8.42,4.23,5.93,100.54
2015,7,9,14.64,7.2,0.34,4.34,101.74
2015,7,10,17.3,8.42,0,3.38,101.59
2015,7,11,18.9,9.64,0.61,3.25,101.14
2015,7,12,17.23,10.01,2.99,5.43,101.12
2015,7,13,17.26,10.62,2.34,4.55,100.92
2015,7,14,18.26,10.68,2.04,3.98,101.2
2015,7,15,17.73,10.31,2.83,4.34,101.36
2015,7,16,16.55,8.18,1.06,3.72,101.36
2015,7,17,18.91,9.77,0.36,7.9,100.63
2015,7,18,16.11,7.57,0,4.15,101.13
2015,7,19,16.33,7.87,3.67,8.51,100.59
2015,7,20,18,10.5,0.98,7.32,100.54
2015,7,21,18.5,9.09,0.04,3.63,100.7
2015,7,22,16.51,8.91,2.08,4.19,100.98
2015,7,23,15.94,7.75,0.14,4.58,101.24
2015,7,24,15.35,8.91,20.01,6.84,100.57
2015,7,25,13.65,7.51,51.06,15.71,100.51
2015,7,26,13.52,8.42,11.1,7.44,100.15
2015,7,27,16.1,9.4,5.37,4.5,99.33
2015,7,28,14.02,8.12,2.33,6.46,99.93
2015,7,29,13.16,7.26,1.44,5.03,100.55
2015,7,30,12.48,7.32,4.31,2.85,101.34
2015,7,31,13.85,7.2,0.1,3.44,101.47
2015,8,1,15.73,7.93,0.03,2.52,101.21
2015,8,2,16.23,8.73,0.02,3.89,101.35
2015,8,3,19.21,10.68,0.88,3.89,100.67
2015,8,4,17.07,8.36,0.13,4.16,100.8
2015,8,5,16.05,8.73,0.01,4.07,101
2015,8,6,17.87,9.89,0.51,4.37,100.84
2015,8,7,16.82,9.09,0.05,3.2,101.46
2015,8,8,16.98,8.61,0,2.45,101.96
2015,8,9,18.28,9.46,0.02,2.39,101.57
2015,8,10,19.05,10.99,0.48,4.37,101.24
2015,8,11,16.18,8.73,0.19,2.23,101.65
2015,8,12,16.4,8.91,1.46,3.34,102.02
2015,8,13,18.24,10.68,0.7,3.12,101.18
2015,8,14,19.65,12.15,2.51,4.8,100.13
2015,8,15,15.76,8.61,0.8,3.86,100.73
2015,8,16,14.63,7.08,0.01,1.44,101.34
2015,8,17,14.77,7.26,0.34,4.3,101.27
2015,8,18,14,8.54,11.54,3.84,100.85
2015,8,19,16.72,9.03,0.31,4.02,101.3
2015,8,20,18.51,11.11,2.69,2.95,101.57
2015,8,21,20.01,11.84,0.95,4.59,101.59
2015,8,22,20.19,11.05,0.05,6.77,101.17
2015,8,23,18.56,10.25,3.9,8.52,100
2015,8,24,14.73,9.52,15.5,5.99,99.63
2015,8,25,14.91,8.85,4.34,2.33,100.27
2015,8,26,17.15,11.17,10.62,6.67,99.99
2015,8,27,15.05,8.24,0.86,4.11,100.26
2015,8,28,14.9,7.51,0.02,3.61,101.18
2015,8,29,15.95,8.67,6.23,3.7,101.62
2015,8,30,15.39,9.7,16.2,2.93,101.44
2015,8,31,14.69,9.77,23.59,3.91,100.93
2015,9,1,14.02,7.81,0.74,3.71,101.27
2015,9,2,12.44,7.08,1.45,3.21,101.29
2015,9,3,11.32,6.65,0.98,2.55,101.07
2015,9,4,11.41,7.08,2.17,5.87,101.17
2015,9,5,11.7,6.35,1.03,4.84,101.66
2015,9,6,11.84,6.29,0.04,4.61,102.31
2015,9,7,12.32,7.81,0.42,4.27,102.58
2015,9,8,12.7,7.69,0.6,1.62,102.41
2015,9,9,14.02,7.75,0.32,3.89,102.03
2015,9,10,14.3,7.57,0,3.7,101.85
2015,9,11,14.81,7.93,0.01,3.52,101.28
2015,9,12,16.13,9.16,2.99,6.31,100.4
2015,9,13,11.37,6.96,6.87,2.91,100.24
2015,9,14,13.13,8,3.58,9.09,99.12
2015,9,15,12.33,7.75,1.57,4.84,99.15
2015,9,16,12.9,8.36,26.26,6.68,98.57
2015,9,17,12.97,7.45,0.77,3.96,99.46
2015,9,18,12.52,8,5.95,3.29,100.74
2015,9,19,12.83,6.96,0.08,4.53,102
2015,9,20,13.54,7.81,0.05,2.33,101.95
2015,9,21,12.59,8.24,8.14,3.24,100.68
2015,9,22,10.95,6.9,1.41,5.21,99.8
2015,9,23,12.74,7.14,2.35,3.46,100.55
2015,9,24,13.06,7.32,3.39,3.94,100.9
2015,9,25,11.05,6.23,0.06,3.59,101.83
2015,9,26,11.36,6.59,0.07,2.23,102.5
2015,9,27,11.62,6.96,0.01,1.67,103.08
2015,9,28,12.18,7.45,0.04,1.95,103.37
2015,9,29,12.43,7.2,0.01,2.88,103.28
2015,9,30,12.65,6.9,0.05,3.38,103.09
2015,10,1,12,7.26,0.01,2.97,102.86
2015,10,2,11.3,7.57,0.02,1.48,102.13
2015,10,3,12.1,7.39,0.02,2.88,101.12
2015,10,4,11.53,6.96,0.26,2.39,101.01
2015,10,5,13.64,9.34,7.73,4.06,100.26
2015,10,6,15.29,10.25,17.41,4.48,99.49
2015,10,7,12.58,8.18,2.39,5.98,100.27
2015,10,8,10.3,6.29,0.02,3.59,101.64
2015,10,9,10.55,6.59,0.01,3.04,101.95
2015,10,10,11.55,7.45,0.58,2.57,101.73
2015,10,11,9.65,5.43,0,3.54,101.49
2015,10,12,9.15,5.37,0.19,2.55,101.55
2015,10,13,9.39,5.13,0.16,4.27,101.9
2015,10,14,9.81,6.1,3.37,5.48,101.84
2015,10,15,9.62,6.47,2.63,3.88,101.71
2015,10,16,11.11,7.08,2.67,1.68,101.7
2015,10,17,10.65,7.02,2.82,4.84,101.56
2015,10,18,10.99,7.32,1.2,2.55,101.71
2015,10,19,10.81,6.77,0.23,2.02,102.05
2015,10,20,9.36,5.98,0.14,3.98,102.12
2015,10,21,10.21,7.51,6.39,4.24,101.16
2015,10,22,10.39,6.65,0.1,4.95,101.15
2015,10,23,8.89,6.04,0.13,3.05,101.64
2015,10,24,10.62,7.2,2.22,2.91,101.07
2015,10,25,6.16,5.25,0.02,3.84,102.03
2015,10,26,10.26,7.32,0.17,3.49,101.24
2015,10,27,11.74,8.54,0.19,2.63,100.74
2015,10,28,11.09,8.24,6.91,2.72,100.31
2015,10,29,11.44,7.81,0.59,5.2,100.93
2015,10,30,12.55,8.18,2.46,4.25,101.57
2015,10,31,10.62,7.57,0.05,3.01,101.95
2015,11,1,9.6,7.45,0.23,1.52,102.47
2015,11,2,9.52,7.63,0.36,2.51,102.06
2015,11,3,10.46,7.45,0.21,2.55,101.31
2015,11,4,11.12,8.18,5.38,3.27,100.97
2015,11,5,12.36,8.61,10.71,4.27,100.88
2015,11,6,13.67,9.34,4.48,4.02,100.95
2015,11,7,13.36,8.97,6.34,10.45,101.29
2015,11,8,11.3,8.12,0.41,7.92,101.53
2015,11,9,10.87,7.26,2.24,8.36,101.34
2015,11,10,13.9,8.91,1.8,2.54,101.44
2015,11,11,12.07,7.87,0.1,2.52,101.48
2015,11,12,11.26,7.57,0.22,5.02,101.52
2015,11,13,8.16,5.49,0.43,5.03,101.36
2015,11,14,8.12,6.23,8.75,5.6,101.43
2015,11,15,13.58,8.42,1.16,4.96,100.39
2015,11,16,10.87,6.84,2.07,6,100.34
2015,11,17,10.62,7.39,5.43,15.3,99.64
2015,11,18,10.2,6.65,0.66,10.74,100.37
2015,11,19,8.78,6.35,0.65,6.52,100.57
2015,11,20,5.48,4.88,0.24,3.22,100.05
2015,11,21,3.58,4.39,4.99,7.34,99.85
2015,11,22,1.98,3.91,0.96,2.82,100.97
2015,11,23,2.26,4.03,0.58,5.02,101.79
2015,11,24,5.65,5.49,9.21,4.28,100.53
2015,11,25,4.68,5,0.59,3.16,100.52
2015,11,26,4.68,5.19,0.35,2.49,101.39
2015,11,27,8.55,6.65,2.6,5.38,100.48
2015,11,28,4.65,4.88,1.58,4.85,100.31
2015,11,29,8.7,5.98,0.84,6.27,100.03
2015,11,30,7.44,5.92,10.64,10.95,100.8
2015,12,1,7.82,6.23,1.83,7.39,101.61
2015,12,2,9.93,6.71,0.13,2.16,101.71
2015,12,3,10.08,7.08,2.31,6.58,101.41
2015,12,4,7.59,5.8,1.48,5.45,101.77
2015,12,5,10.45,6.29,0.03,2.85,101.16
2015,12,6,11.45,7.39,1.08,9.94,101.11
2015,12,7,10.48,7.57,1.82,5.08,102.01
2015,12,8,9.26,6.77,4.19,2.33,101.7
2015,12,9,5.82,5.19,0.02,4.95,102.67
2015,12,10,9.52,6.41,4.88,6.42,101.85
2015,12,11,6.3,5.43,0.16,2.18,101.54
2015,12,12,6.37,5.68,10.2,10.75,101.18
2015,12,13,5.74,5.43,2.44,3.12,101.47
2015,12,14,6.55,5.86,0.86,2.63,101.31
2015,12,15,8.59,6.71,4.94,5.02,101.38
2015,12,16,11.76,8.12,1.34,2.77,101.28
2015,12,17,10.75,7.57,0.56,2.34,101.16
2015,12,18,9.39,7.02,0.31,1.69,101.28
2015,12,19,11.94,8,0.4,2.86,100.75
2015,12,20,10.4,7.08,0.14,2.13,100.53
2015,12,21,8.05,6.23,1.59,10.48,100.81
2015,12,22,12.26,8.12,6.16,6.91,100.61
2015,12,23,7.87,5.86,0.17,5.48,101.28
2015,12,24,8.01,6.04,1.6,5.98,100.78
2015,12,25,7.74,6.29,3.08,7.4,101.47
2015,12,26,12.76,7.87,0.08,1.23,101.23
2015,12,27,12.16,8.24,3.65,7.39,101.53
2015,12,28,9.27,6.65,0.1,3.96,101.48
2015,12,29,9.25,6.9,2,4.07,101.4
2015,12,30,9.74,6.29,7.05,5.01,100.76
2015,12,31,7.9,5.68,3.78,5.54,100.68
2016,1,1,5.2,5.07,2.89,8.9,101.45
2016,1,2,8.62,6.53,4.11,7.17,99.69
2016,1,3,6.53,5.86,13.24,10.05,98.79
2016,1,4,6.3,5.92,4.31,3.08,97.91
2016,1,5,6.98,6.23,5.75,4.53,98.17
2016,1,6,6.27,5.98,2.55,3.2,99
2016,1,7,5.76,5.31,11,7.68,98.34
2016,1,8,3.87,4.82,2.85,3.43,99.43
2016,1,9,7.83,6.41,5.54,7.72,98.69
2016,1,10,4.95,5.13,0.34,4.27,98.03
2016,1,11,4.53,5.19,3.54,3.47,97.82
2016,1,12,4.05,4.82,1.4,2.84,98.92
2016,1,13,2.52,4.33,1.17,4.38,100.66
2016,1,14,2.32,4.21,8.12,8.93,99.81
2016,1,15,0.56,3.72,0.87,5.59,101.24
2016,1,16,1.56,3.72,0.21,4.99,102.23
2016,1,17,0.22,3.05,0,4.05,102.18
2016,1,18,0.38,3.11,0,4.38,101.27
2016,1,19,-0.69,3.48,0.17,1.16,101.22
2016,1,20,0.49,3.97,0.34,3.38,101.57
2016,1,21,1.82,3.91,0.11,6.57,101.82
2016,1,22,4.54,4.82,6.57,4.93,101.37
2016,1,23,5.82,5.49,0.81,4.56,102.34
2016,1,24,9.86,7.26,1.47,3.99,102.08
2016,1,25,9.48,6.77,0.18,5.22,101.55
2016,1,26,7.93,6.1,2.06,9.02,101.01
2016,1,27,10.45,7.08,1.13,8.25,100.22
2016,1,28,4.4,4.33,0.1,5.02,101.62
2016,1,29,9.93,6.65,3.2,4.89,100.9
2016,1,30,5.76,4.76,3.08,6.44,100.26
2016,1,31,5.77,5.62,1.97,5.02,100.19
2016,2,1,10.06,6.47,0.35,5.55,100.62
2016,2,2,5.98,4.46,0.03,5.84,100.71
2016,2,3,2.7,4.09,0.23,4.56,101.43
2016,2,4,5.83,5.37,4.34,7.27,101.74
2016,2,5,8.42,6.35,0.56,6.67,101.24
2016,2,6,9.08,6.29,2.28,7.38,99.4
2016,2,7,6.69,5.31,3.19,9.34,98.61
2016,2,8,7.26,5.43,4.07,5.31,97.84
2016,2,9,3.56,4.15,0.32,6.95,98.19
2016,2,10,2.84,4.27,0.25,4.12,98.97
2016,2,11,2.09,3.97,0.1,3.91,99.89
2016,2,12,1.77,4.46,0.81,2.21,99.32
2016,2,13,2.93,4.15,0.17,5.14,98.49
2016,2,14,2.73,3.97,2.03,3.78,99.29
2016,2,15,2.31,3.78,0.65,5.66,101.88
2016,2,16,2.86,3.66,0.02,6.4,102.89
2016,2,17,2.74,3.72,0.94,3.64,101.29
2016,2,18,2.18,3.91,4.18,3.2,100.89
2016,2,19,3.33,4.27,3.36,7.54,101.01
2016,2,20,8.36,6.35,2.48,2.63,100.16
2016,2,21,10.86,7.39,1.43,7.88,100.17
2016,2,22,5.91,4.76,2.49,4.73,100.32
2016,2,23,2.69,4.03,0.55,4.13,101.15
2016,2,24,0.87,3.23,0.07,1.05,101.35
2016,2,25,0.19,3.05,0.07,3.3,101.13
2016,2,26,0.61,2.93,0.01,1.82,100.72
2016,2,27,1.85,3.3,0.01,3.52,100.87
2016,2,28,2.08,3.6,0.01,3.88,101.83
2016,2,29,2.26,3.66,0.01,2.88,102.19
2016,3,1,6.73,5.74,10.65,5.97,100.41
2016,3,2,3.73,4.39,5.96,4.51,99.1
2016,3,3,4.67,4.39,2.27,5.36,99.68
2016,3,4,3.78,3.97,11.62,9.32,98.7
2016,3,5,2.49,4.33,2.73,6.55,99.36
2016,3,6,2.55,4.03,1.54,5.71,99.94
2016,3,7,1.69,3.97,1.68,4.27,100.38
2016,3,8,3.21,4.03,0.52,5.23,100.77
2016,3,9,4.68,4.88,12.5,9.55,99.61
2016,3,10,4.74,4.27,0.05,2.48,101.55
2016,3,11,3.8,4.46,0.04,1.35,102.45
2016,3,12,5.39,4.64,0.02,1.45,102.71
2016,3,13,3.44,4.27,0.02,2.91,103.16
2016,3,14,4.13,4.33,0,4.31,103.06
2016,3,15,5.07,5.13,0.25,3.83,102.64
2016,3,16,5.21,4.46,0.05,4.12,102.72
2016,3,17,4.26,4.33,0.01,2.58,102.66
2016,3,18,5.26,4.76,0.49,4.04,102.2
2016,3,19,5.54,4.58,0.16,3.55,102.18
2016,3,20,5.85,4.88,0.31,3.78,102.01
2016,3,21,5.33,4.76,0.06,4.69,101.74
2016,3,22,5.12,4.88,0.09,2.01,101.32
2016,3,23,5.65,5,0.35,3.04,101.18
2016,3,24,6.44,5.37,2.46,4.9,100.72
2016,3,25,8.36,5.25,2.07,6.38,100.79
2016,3,26,8.52,6.29,2.8,7.28,100.03
2016,3,27,7.74,5.43,3.24,5.01,99.5
2016,3,28,7.17,5.25,10.45,12.24,98.32
2016,3,29,6.53,4.88,2.7,5.01,99.7
2016,3,30,6.58,4.7,0.16,5.44,100.32
2016,3,31,5.91,4.7,0.1,2.88,101.13
2016,4,1,5.76,4.58,0.01,6.3,101.47
2016,4,2,8.19,5.31,3.32,3.56,100.91
2016,4,3,9.9,6.41,2.32,3.42,100.22
2016,4,4,9.32,6.53,6.98,5.59,99.86
2016,4,5,8.26,5.43,0.18,4.05,100.21
2016,4,6,6.69,4.88,1.36,7.52,100.04
2016,4,7,6.33,4.88,0.99,6.56,100.26
2016,4,8,8.14,5.37,0.32,4.81,100.59
2016,4,9,7.42,5.68,4.7,6.18,99.94
2016,4,10,6.48,4.58,0.02,5.85,100.57
2016,4,11,10.34,6.65,0.6,7.65,100.37
2016,4,12,9.16,6.16,2.38,3.17,100.28
2016,4,13,9.94,5.62,0.21,1.5,100.42
2016,4,14,9.9,6.04,1.08,2.85,100.59
2016,4,15,8.24,6.29,15.84,2.52,99.66
2016,4,16,4.87,4.64,4.48,5.4,99.88
2016,4,17,5.19,4.27,1.29,3.51,101.04
2016,4,18,7.9,5.07,0.21,4.63,101.59
2016,4,19,7.23,4.7,0,1.99,102.43
2016,4,20,6.39,4.46,0,2.44,102.73
2016,4,21,7.66,5.31,0.01,2.02,102.2
2016,4,22,6.93,4.94,0.12,1.61,101.84
2016,4,23,4.97,4.03,0.44,4.23,101.58
2016,4,24,4.1,3.97,1.07,5.97,101.43
2016,4,25,5.13,4.46,2.56,6.14,100.39
2016,4,26,4.03,4.03,1.38,3.4,100.1
2016,4,27,4.81,4.03,1.01,6.35,100.66
2016,4,28,5.3,4.15,5.44,7.68,100.73
2016,4,29,5.85,4.09,0.96,6.31,100.48
2016,4,30,6.3,4.33,0.22,2.73,101.67
2016,5,1,8.44,4.88,0.02,4.1,102.25
2016,5,2,11.46,7.02,3.56,4.98,101.5
2016,5,3,8.9,5.07,0.05,4.3,102.03
2016,5,4,10.51,5.68,0,4.82,102.23
2016,5,5,11.26,5.74,0,3.16,101.73
2016,5,6,12.27,6.9,0,3.49,100.85
2016,5,7,14.48,7.87,0.01,2.75,100.48
2016,5,8,15.48,7.69,0,2.8,100.6
2016,5,9,15.01,7.93,0.65,5.44,100.72
2016,5,10,13.37,8.91,9.21,3.64,100.47
2016,5,11,14.4,9.03,4.88,2.84,100.1
2016,5,12,14.17,8.06,0.15,2.88,99.95
2016,5,13,10.67,6.47,0.54,3.55,100.63
2016,5,14,7.34,4.39,0.28,5.39,101.48
2016,5,15,7.98,5,0.48,3.18,101.78
2016,5,16,11.77,5.68,0.12,1.99,101.61
2016,5,17,12.48,6.71,0.05,5.51,101.06
2016,5,18,11.87,7.51,3.1,7.8,100.09
2016,5,19,13.34,7.57,0.98,6.2,100.57
2016,5,20,14.44,8.06,0.78,4.55,100.87
2016,5,21,14.27,8.54,1.36,6.02,100.48
2016,5,22,13.56,8,2.77,2.76,100.33
2016,5,23,11.9,6.96,0.61,5.05,101.31
2016,5,24,10.56,6.04,0.04,4.65,101.71
2016,5,25,9.87,6.59,0.74,2.96,101.28
2016,5,26,11.92,6.77,0.08,1.49,101.28
2016,5,27,12.01,7.14,0.01,1.95,101.42
2016,5,28,12.46,7.2,0.07,2.11,101.22
2016,5,29,13.58,8.18,0.26,3.98,100.92
2016,5,30,12.24,7.75,1.15,5.49,100.97
2016,5,31,12.58,8.3,21.11,4.49,101.01
2016,6,1,13.34,8.42,2.44,5.2,101.57
2016,6,2,10.85,7.08,1.21,3.66,101.53
